2014-05-19-06:10:32,69 0.0000
2014-05-19-06:10:37,70 0.0000
2014-05-19-06:10:42,70 0.0000
2014-05-19-06:10:47,70 0.0000
2014-05-19-06:10:52,71 0.0000
2014-05-19-06:10:57,71 0.0000
2014-05-19-06:11:02,72 0.0000
2014-05-19-06:11:07,72 0.0000
2014-05-19-06:11:12,72 0.0000
2014-05-19-06:11:17,73 0.0000
2014-05-19-06:11:22,73 0.0000
2014-05-19-06:11:27,74 0.0000
2014-05-19-06:11:32,74 0.0000
2014-05-19-06:11:37,74 0.0000
2014-05-19-06:11:42,75 0.0000
2014-05-19-06:11:47,75 0.0000
2014-05-19-06:11:52,76 0.0000
2014-05-19-06:11:57,76 0.0000
2014-05-19-06:12:02,76 0.0000
2014-05-19-06:12:07,77 0.0000
2014-05-19-06:12:12,77 0.0000
2014-05-19-06:12:17,78 0.0000
2014-05-19-06:12:22,78 0.0000
2014-05-19-06:12:27,78 0.0000
2014-05-19-06:12:32,79 0.0000
2014-05-19-06:12:37,79 0.0000
2014-05-19-06:12:42,79 0.0000
2014-05-19-06:12:47,80 0.0000
2014-05-19-06:12:52,80 0.0000
2014-05-19-06:12:57,81 0.0000
2014-05-19-06:13:02,81 0.0000
2014-05-19-06:13:07,81 0.0000
2014-05-19-06:13:12,82 0.0000
2014-05-19-06:13:17,82 0.0000
2014-05-19-06:13:22,83 0.0000
2014-05-19-06:13:27,83 0.0000
2014-05-19-06:13:32,83 0.0000
2014-05-19-06:13:37,84 0.0000
2014-05-19-06:13:42,84 0.0000
2014-05-19-06:13:47,85 0.0000
2014-05-19-06:13:52,85 0.0000
2014-05-19-06:13:57,85 0.0000
2014-05-19-06:14:02,86 0.0000
2014-05-19-06:14:07,86 0.0000
2014-05-19-06:14:12,87 0.0000
2014-05-19-06:14:17,87 0.0000
2014-05-19-06:14:22,87 0.0000
2014-05-19-06:14:27,88 0.0000
2014-05-19-06:14:32,88 0.0000
2014-05-19-06:14:37,88 0.0000
2014-05-19-06:14:42,89 0.0000
2014-05-19-06:14:47,89 0.0000
2014-05-19-06:14:52,90 0.0000
2014-05-19-06:14:57,90 0.0000
2014-05-19-06:15:02,90 0.0000
2014-05-19-06:15:07,91 0.0000
2014-05-19-06:15:12,91 0.0000
2014-05-19-06:15:17,92 0.0000
2014-05-19-06:15:22,92 0.0000
2014-05-19-06:15:27,92 0.0000
2014-05-19-06:15:32,93 0.0000
2014-05-19-06:15:37,93 0.0000
2014-05-19-06:15:42,94 0.0000
2014-05-19-06:15:47,94 0.0000
2014-05-19-06:15:52,94 0.0000
2014-05-19-06:15:57,95 0.0000
2014-05-19-06:16:02,95 0.0000
2014-05-19-06:16:07,96 0.0000
2014-05-19-06:16:12,96 0.0000
2014-05-19-06:16:17,96 0.0000
2014-05-19-06:16:22,97 0.0000
2014-05-19-06:16:27,97 0.0000
2014-05-19-06:16:32,97 0.0000
2014-05-19-06:16:37,98 0.0000
2014-05-19-06:16:42,98 0.0000
2014-05-19-06:16:47,99 0.0000
2014-05-19-06:16:52,99 0.0000
2014-05-19-06:16:57,99 0.0000
2014-05-19-06:17:03,00 0.0000
2014-05-19-06:17:08,00 0.0000
2014-05-19-06:17:13,01 0.0000
2014-05-19-06:17:18,01 0.0000
2014-05-19-06:17:23,01 0.0000
2014-05-19-06:17:28,02 0.0000
2014-05-19-06:17:33,02 0.0000
2014-05-19-06:17:38,03 0.0000
2014-05-19-06:17:43,03 0.0000
2014-05-19-06:17:48,03 0.0000
2014-05-19-06:17:53,04 0.0000
2014-05-19-06:17:58,04 0.0000
2014-05-19-06:18:03,04 0.0000
2014-05-19-06:18:08,05 0.0000
2014-05-19-06:18:13,05 0.0000
2014-05-19-06:18:18,06 0.0000
2014-05-19-06:18:23,06 0.0000
2014-05-19-06:18:28,06 0.0000
2014-05-19-06:18:33,07 0.0000
2014-05-19-06:18:38,07 0.0000
2014-05-19-06:18:43,08 0.0000
2014-05-19-06:18:48,08 0.0000
2014-05-19-06:18:53,09 0.0000
2014-05-19-06:18:58,09 0.0000
2014-05-19-06:19:03,10 0.0000
2014-05-19-06:19:08,10 0.0000
2014-05-19-06:19:13,10 0.0000
2014-05-19-06:19:18,11 0.0000
2014-05-19-06:19:23,11 0.0000
2014-05-19-06:19:28,12 0.0000
2014-05-19-06:19:33,12 0.0000
2014-05-19-06:19:38,12 0.0000
2014-05-19-06:19:43,13 0.0000
2014-05-19-06:19:48,13 0.0000
2014-05-19-06:19:53,13 0.0000
2014-05-19-06:19:58,14 0.0000
2014-05-19-06:20:03,14 0.0000
2014-05-19-06:20:08,15 0.0000
2014-05-19-06:20:13,15 0.0000
2014-05-19-06:20:18,15 0.0000
2014-05-19-06:20:23,16 0.0000
2014-05-19-06:20:28,16 0.0000
2014-05-19-06:20:33,17 0.0000
2014-05-19-06:20:38,17 0.0000
2014-05-19-06:20:43,17 0.0000
2014-05-19-06:20:48,18 0.0000
2014-05-19-06:20:53,18 0.0000
2014-05-19-06:20:58,19 0.0000
2014-05-19-06:21:03,19 0.0000
2014-05-19-06:21:08,19 0.0000
2014-05-19-06:21:13,20 0.0000
2014-05-19-06:21:18,20 0.0000
2014-05-19-06:21:23,21 0.0000
